number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
2065,157,0.334,1041,270,0.013826,93305.88235,3578.519007,3598.532813,3250.548242,2822.315147,2601.583378,96.50278359,205.4382441,308.7347686,399.6686535,480.1486907
2066,221,0.444,718,504,0.0220571,139148.2353,3941.542575,3758.277996,3240.105133,2687.499083,2400.934943,110.9116059,227.6217791,333.0592029,421.6837552,496.9695669
2067,207,0.156,1211,553,0.0218481,130272.9412,6613.456918,6360.783458,5418.948272,4430.86347,4039.441165,180.9019453,378.0420954,555.6573355,702.7164955,827.4757687
2068,78,0.288,1327,193,0.00820818,45745.88235,3585.078642,3813.23547,3597.075439,3230.18839,3006.164165,91.84369126,204.2961824,316.1946509,418.6134386,511.4345826
2069,104,0.333,891,504,0.015075,62601.76471,4134.73212,4190.899873,3777.445691,3235.870432,2907.674957,109.9180543,236.4034651,356.6758273,461.7689958,552.961851
2070,171,0.088,1462,386,0.0214651,106414.1176,7143.853766,6963.73651,5981.469359,4869.95747,4302.106001,192.198409,406.6587693,602.0011006,764.2544835,899.6351532
2071,203,0.481,1524,579,0.0137696,120903.5294,5237.339357,5312.801288,4853.019807,4261.794598,3942.925347,140.7665128,300.8614805,454.1821558,590.7282315,712.6133911
2072,69,0.014,608,331,0.0238418,43131.76471,3947.065206,3886.36144,3323.654219,2671.308173,2341.687928,104.3581358,223.6299999,332.5197877,422.1528649,496.0255362
2073,171,0.334,447,427,0.0258056,108663.5294,3254.306796,3024.487664,2535.414561,2035.347211,1772.545341,92.70025877,187.8406353,271.576979,339.8555666,396.0704666
2074,230,0.396,1363,151,0.00922017,136917.6471,3289.841451,3414.655132,3188.438405,2872.548583,2728.34298,87.28174014,189.0534615,288.6507439,379.4630348,462.720501
2075,81,0.298,453,285,0.0191613,49397.64706,2441.818817,2393.79907,2100.083462,1737.231063,1481.800943,66.7870395,140.1562463,207.9580251,265.4698861,313.2661116
2076,100,0.05,651.6606603,500,0.0246893,63143.52941,4841.858166,4687.103306,3949.594974,3158.279149,2842.101812,129.7994621,274.8519504,405.1981258,511.289574,599.4462598
2077,112,0.302,1081,520,0.014112,67263.52941,4682.309322,4776.128896,4338.072453,3731.365464,3319.233402,123.7527041,267.4129993,405.0016777,526.010841,630.8293548
2078,118,0.161,736,275,0.0207859,72520,3687.47008,3568.534412,3069.508088,2522.981896,2261.546624,100.8030892,211.0091217,311.1142473,394.7046083,465.3440704
2079,141,0.125,619,351,0.0261408,89736.47059,3967.522363,3712.144112,3085.476743,2444.9277,2147.904422,110.7777929,227.3477721,329.7935485,412.3375601,479.9244683
2080,209,0.375,534,584,0.0261745,132969.4118,4159.584256,3867.216747,3240.904812,2595.963996,2247.709846,118.4439897,240.0750103,347.1375504,434.3430103,505.8622569
2081,85,0.124,1188,252,0.0144861,51367.05882,4697.462155,4830.034212,4388.957262,3741.974102,3256.827525,122.4865881,267.2928346,406.5521507,528.5712082,632.6889627
2082,89,0.254,967,376,0.0134975,53441.17647,3956.517939,4055.867759,3693.04111,3180.608687,2831.141189,103.9321939,225.6641339,342.6624947,445.7505428,535.1286653
2083,77,0.311,1034,539,0.0115361,45708.23529,4280.923256,4489.532608,4164.033988,3648.013206,3285.056073,110.4512105,243.7728006,374.4820873,491.7096183,594.8935161
2084,141,0.274,798,206,0.0160405,87592.94118,3026.322611,2991.289585,2658.301587,2252.584412,1999.363854,82.6954673,173.9860699,259.1932927,332.7568733,395.8733235
2085,62,0.294,864,177,0.00984351,36802.35294,2608.370612,2736.25737,2557.533633,2264.10577,2047.880146,67.72958677,148.9054157,228.838924,301.2103924,365.4572927
2086,208,0.374,747,345,0.0194306,129465.8824,3358.896386,3245.188744,2844.69127,2383.474043,2087.607144,93.96453033,194.0253695,285.8079568,364.0996483,430.4699028
2087,100,0.388,1475,298,0.00837648,58658.82353,3858.887603,4111.88482,3896.335556,3516.365876,3276.101843,99.54106241,220.6541725,341.5686868,452.7901018,553.9476959
2088,237,0.35,1328,282,0.0132939,144694.1176,4224.791618,4252.065673,3850.310271,3361.219459,3126.487288,114.3468414,242.999392,365.1804872,473.1446541,569.3972412
2089,191,0.224,1491,383,0.0157273,115988.2353,5861.163712,5848.287644,5206.064122,4411.154434,3940.219868,157.8872509,335.6982165,502.4910349,646.535202,770.400052
