number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
1,60,0.05,300,150,0.0294485,38682.35294,2010.794417,1858.221949,1511.080242,1182.325609,1084.914366,55.99700887,114.7848729,165.5446335,205.6335582,238.797604
2,60,0.05,300,262.5,0.0277284,38192.94118,2467.936715,2330.162035,1928.80298,1505.659203,1302.530356,67.60215784,140.5348496,204.7760361,256.0451811,297.3157375
3,60,0.05,300,375,0.0257734,38096.47059,2887.817842,2782.858064,2342.97291,1858.193264,1618.550007,77.84972325,164.1097139,241.4719533,304.2391436,355.4149131
4,60,0.05,300,487.5,0.0238938,37552.94118,3279.735152,3215.012374,2753.402205,2210.432415,1901.630774,87.26428173,186.0721228,276.1961503,350.4626589,411.1637767
5,60,0.05,300,600,0.0220089,37102.94118,3637.572602,3632.212083,3166.588331,2553.338608,2105.100174,95.80542482,206.3936498,309.1355175,394.9126899,463.9859468
6,60,0.05,637.5,150,0.0214058,37265.88235,3103.909221,3075.704216,2673.240966,2157.596747,1789.848831,82.56900049,176.5251942,263.368671,335.7878425,394.3034388
7,60,0.05,637.5,262.5,0.0201128,36955.29412,3484.295116,3499.366452,3067.102994,2502.834788,2121.89188,91.53085966,197.7982827,297.0194989,380.5044149,449.0228391
8,60,0.05,637.5,375,0.018918,36806.47059,3830.094441,3892.24236,3463.080616,2872.064309,2448.648541,99.89645182,217.3715969,328.5178969,423.5378883,502.5177609
9,60,0.05,637.5,487.5,0.017704,36533.52941,4154.149202,4269.113064,3844.838867,3220.541557,2735.436078,107.6398397,235.7608875,358.3942429,464.4509883,553.0186545
10,60,0.05,637.5,600,0.0165688,36197.64706,4461.801385,4640.364306,4213.437516,3556.522584,3045.12108,114.4440015,252.9595881,386.8109627,503.4659575,601.6574519
11,60,0.05,975,150,0.0163137,36399.41176,4009.210903,4133.102542,3743.354992,3162.327304,2712.378531,103.7838133,227.6055617,346.6335739,450.2940599,537.6840015
12,60,0.05,975,262.5,0.0154801,36100,4326.408401,4503.276849,4110.395127,3493.861632,2999.774765,111.1368854,245.4391626,375.6359946,489.8263524,586.4921588
13,60,0.05,975,375,0.0146285,35802.35294,4625.275539,4858.107192,4468.403234,3824.088272,3293.086912,118.0538431,262.3208288,403.3149185,527.8789128,633.8933508
14,60,0.05,975,487.5,0.0137729,35521.76471,4900.893131,5200.335872,4835.405798,4160.128993,3528.531539,124.4558967,278.0777963,429.8323208,565.0986769,679.8768538
15,60,0.05,975,600,0.0130157,35415.29412,5170.256865,5519.545171,5170.547278,4501.02318,3888.732872,130.4952494,293.0601954,454.6850977,600.0877701,725.3188263
16,60,0.05,1312.5,150,0.0129666,35455.88235,4780.559618,5079.248992,4722.435956,4081.996742,3529.807584,121.0556994,271.0564299,419.2556148,551.5663254,665.0579198
17,60,0.05,1312.5,262.5,0.012385,35317.05882,5058.523559,5405.85168,5064.527177,4414.862532,3837.170227,127.5748376,286.7374884,445.0394122,587.5257177,710.6508877
18,60,0.05,1312.5,375,0.0118341,35237.64706,5325.582194,5722.728573,5384.337561,4737.686695,4210.053515,133.4394339,301.5370358,469.4477744,621.514691,754.8991531
19,60,0.05,1312.5,487.5,0.0113332,35142.94118,5573.857631,6026.295647,5708.541608,5069.91482,4559.734589,138.9910233,315.4804517,492.8668415,654.7842207,798.3461962
20,60,0.05,1312.5,600,0.0108643,34968.23529,5812.32586,6322.741622,6016.288709,5363.675997,4835.612362,144.0775019,328.7340719,515.2733125,686.2497965,838.3393632
21,60,0.05,1650,150,0.0107653,35004.11765,5471.935726,5919.89898,5598.90375,4972.691461,4505.003538,136.1366694,309.5162629,483.6410233,642.3983173,783.5877546
22,60,0.05,1650,262.5,0.0104173,34861.76471,5702.129081,6213.564402,5929.688459,5287.30041,4723.199416,141.6143358,322.8840151,506.4750873,675.0802016,824.4959823
23,60,0.05,1650,375,0.0100766,34700,5936.150146,6505.125269,6233.418231,5593.665304,5058.502758,146.5977913,335.9094233,528.4984859,706.2340583,865.1643081
24,60,0.05,1650,487.5,0.00976111,34516.47059,6184.140527,6772.891397,6524.173719,5906.529441,5388.50051,151.4345979,348.4694256,549.4333962,736.2305827,904.8213161
25,60,0.05,1650,600,0.00948858,34238.23529,6388.624585,7047.70258,6824.773525,6181.798466,5580.738448,155.9166479,360.2440243,569.9587322,765.5299758,941.2857905
26,60,0.1625,300,150,0.0230757,38068.23529,1716.632106,1632.287336,1382.418561,1118.570196,992.286657,47.46970582,98.306738,143.751706,181.1120558,212.241566
27,60,0.1625,300,262.5,0.0233347,37922.35294,2198.234445,2111.341704,1787.0495,1442.968888,1296.710927,59.93800707,125.4471618,184.2445147,232.4722477,272.8008744
28,60,0.1625,300,375,0.0226353,37602.35294,2637.12684,2568.151894,2202.989746,1777.641735,1528.1092,71.1639809,150.2786316,222.2912225,281.8561578,330.7078815
29,60,0.1625,300,487.5,0.0215789,37298.82353,3041.09557,3009.205956,2617.324288,2107.661008,1722.426559,81.18348346,173.1407495,258.1359203,329.0023907,385.8398691
30,60,0.1625,300,600,0.0201765,36981.76471,3425.517346,3430.558999,3003.239657,2460.831171,2120.605387,90.1909169,194.5095544,291.7008469,373.5530425,441.3725443
31,60,0.1625,637.5,150,0.0155196,36330,2568.325471,2592.099827,2321.752212,1966.068438,1733.834314,68.05761573,146.4602824,220.6423857,284.9120536,339.8409885
32,60,0.1625,637.5,262.5,0.0157911,36454.70588,2987.295173,3029.642549,2722.453343,2299.200259,1993.356003,78.65837521,170.0781234,256.9415624,332.2646853,396.0676664
33,60,0.1625,637.5,375,0.0155931,36391.17647,3368.231299,3448.076084,3120.513777,2648.098438,2293.384126,88.08340584,191.6747269,290.8939,377.4570233,450.9568167
34,60,0.1625,637.5,487.5,0.0151259,36264.70588,3724.737172,3850.909048,3505.654413,2975.570665,2547.255198,96.60562624,211.7771326,322.945904,420.2681063,502.4978268
35,60,0.1625,637.5,600,0.0145377,36014.70588,4059.744363,4226.240891,3884.225552,3322.789208,2831.022718,104.675478,230.5979001,353.1648128,461.4572232,553.2288638
36,60,0.1625,975,150,0.0117381,35808.82353,3298.715266,3450.09121,3195.410925,2767.307559,2398.41426,85.41661181,187.954641,288.3615221,377.9450657,454.9920764
37,60,0.1625,975,262.5,0.0119305,35701.17647,3672.307018,3849.686246,3573.673792,3104.703364,2703.208672,94.53986138,208.8287817,320.9871194,421.3196296,507.9440788
38,60,0.1625,975,375,0.0118111,35524.11765,4011.063558,4238.527202,3950.69459,3438.103155,2991.29033,102.5889487,227.9842225,351.7476183,462.7783097,558.6915936
39,60,0.1625,975,487.5,0.0115543,35368.23529,4337.283127,4600.486803,4310.724695,3772.538624,3290.470413,110.2244578,246.0540985,380.7240081,502.2133405,607.6375041
40,60,0.1625,975,600,0.011227,35360.58824,4647.370746,4945.025517,4648.683595,4113.400487,3694.231699,117.35473,263.169485,408.116294,539.7010888,656.0814663
41,60,0.1625,1312.5,150,0.00941372,35106.47059,3960.147604,4230.299031,3988.811916,3546.681433,3214.902758,100.3601591,224.8846989,349.0617155,462.2069802,562.9661196
42,60,0.1625,1312.5,262.5,0.00955497,35068.23529,4291.343625,4607.280306,4349.355354,3866.590781,3508.008602,108.1644803,243.5147708,378.8626823,502.2276959,612.0999531
43,60,0.1625,1312.5,375,0.00953151,35074.70588,4607.789213,4953.555395,4698.005334,4199.716081,3817.264686,115.5441214,260.9158025,406.7442827,540.3687306,659.8856261
44,60,0.1625,1312.5,487.5,0.00942592,34994.11765,4886.6014,5300.537,5041.831899,4517.930334,4136.276542,121.9626491,276.9606321,433.2684621,576.8185815,705.76676
45,60,0.1625,1312.5,600,0.0092684,34889.41176,5165.740472,5627.873913,5367.035176,4829.512765,4461.595181,128.2924566,292.5619634,458.7351696,611.8172373,750.2019838
46,60,0.1625,1650,150,0.00792757,34654.70588,4541.073494,4953.914499,4740.668721,4278.90511,3946.192614,113.191057,257.6530551,404.1650592,539.6080001,662.189877
47,60,0.1625,1650,262.5,0.00806642,34628.23529,4846.038818,5289.909916,5088.525179,4605.576198,4204.754563,120.342873,274.449858,431.2849095,576.9457263,708.4407548
48,60,0.1625,1650,375,0.0081012,34566.47059,5120.780406,5627.821139,5416.732298,4911.962573,4537.960652,126.6582735,290.2131814,457.1462461,612.2803105,753.1716786
49,60,0.1625,1650,487.5,0.00807246,34455.88235,5398.255153,5930.574357,5741.821995,5227.398912,4782.705951,132.8354962,305.0648688,481.459242,646.3174815,795.8004782
50,60,0.1625,1650,600,0.00800576,34337.64706,5652.762568,6228.482371,6050.562746,5531.82982,5085.109716,138.4464436,319.0652489,504.6189916,678.6908807,837.2489091
51,60,0.275,300,150,0.0195827,36374.11765,1500.532198,1457.879708,1268.164208,1049.117268,918.4704585,41.33197759,86.22297817,127.33413,162.0195162,191.1651673
52,60,0.275,300,262.5,0.0211202,36997.64706,2000.962768,1941.637024,1677.348118,1376.784462,1208.634468,54.67162454,114.5338898,169.1202144,214.8120295,253.0514188
53,60,0.275,300,375,0.0211315,37268.23529,2458.374729,2406.728908,2082.802704,1701.680903,1478.448294,66.41035881,140.3364703,208.0912894,264.7326765,311.7710355
54,60,0.275,300,487.5,0.0203966,37536.47059,2877.225309,2853.226717,2492.26485,2031.502185,1708.101197,76.85928202,163.9549237,244.6832523,312.4928067,367.9470002
55,60,0.275,300,600,0.0194069,36895.88235,3264.825246,3277.947343,2898.837723,2395.360115,2035.378244,86.31268376,185.7696815,279.0672072,358.4562651,424.2237715
56,60,0.275,637.5,150,0.0121069,35628.82353,2159.385946,2217.897458,2030.578616,1766.834811,1596.071432,56.98937208,123.4749558,187.604916,244.5454231,294.5448089
57,60,0.275,637.5,262.5,0.0134164,35981.76471,2618.419498,2677.148992,2434.957153,2107.15211,1909.041988,68.84141929,149.2963851,226.4611455,294.5376823,354.1872213
58,60,0.275,637.5,375,0.0138672,36090.58824,3023.429979,3113.158853,2847.479451,2451.74606,2151.31297,79.20807891,172.4271249,262.4435273,341.9753521,410.501294
59,60,0.275,637.5,487.5,0.0138384,36064.70588,3407.698833,3530.41558,3239.754141,2784.149437,2412.036391,88.56748217,193.9831875,296.2586351,386.7190033,464.1425179
60,60,0.275,637.5,600,0.0135551,35894.11765,3759.390404,3925.173444,3626.080935,3121.939463,2672.575615,97.16597989,213.9214097,328.027631,429.4357761,515.8917749
61,60,0.275,975,150,0.00878469,35298.23529,2751.039576,2908.268424,2724.717275,2440.25649,2294.756432,70.61132554,156.6527335,241.699631,319.1266736,389.5046277
62,60,0.275,975,262.5,0.0097485,35376.47059,3160.171719,3345.966237,3138.019082,2786.539429,2541.736452,81.16451802,180.053703,277.9850755,366.899523,446.2442081
63,60,0.275,975,375,0.0101886,35338.82353,3541.318093,3754.497927,3526.402763,3121.664468,2804.914908,90.64672924,201.5179469,311.5038549,411.3356813,499.6836101
64,60,0.275,975,487.5,0.0103207,35397.05882,3896.708438,4150.266523,3895.665245,3451.735713,3137.30904,98.99996142,221.3735231,342.9343591,453.2201552,551.3335305
65,60,0.275,975,600,0.010276,35369.41176,4225.347663,4513.5837,4259.060174,3796.620317,3461.107356,107.0390296,239.898453,372.426456,493.3629001,601.4929439
66,60,0.275,1312.5,150,0.00692762,34708.23529,3274.717996,3546.547369,3394.893104,3092.650587,2912.715207,82.66948589,186.3882947,291.2274916,388.5759983,478.0095981
67,60,0.275,1312.5,262.5,0.00768174,34842.35294,3663.210826,3958.455226,3781.740923,3424.382513,3177.694593,92.25415889,208.1231897,325.0418854,433.221204,531.6115411
68,60,0.275,1312.5,375,0.00807589,34941.76471,4015.863676,4347.075305,4153.321083,3758.387654,3486.061662,100.8474742,228.0087068,356.422334,475.1961799,583.1516679
69,60,0.275,1312.5,487.5,0.00827244,34956.47059,4334.803421,4716.601395,4515.427661,4090.215962,3799.900044,108.4293318,246.1065004,385.5956984,514.7917804,632.3576139
70,60,0.275,1312.5,600,0.0083363,34886.47059,4647.161743,5063.78122,4863.399388,4415.912075,4091.215109,115.6728878,263.3419053,413.3297479,552.6748137,679.5123757
71,60,0.275,1650,150,0.00578541,34271.17647,3760.744756,4140.48054,4023.250567,3707.13044,3490.19576,93.50093393,213.6343223,336.9601087,453.0404547,560.3797895
72,60,0.275,1650,262.5,0.00638732,34378.23529,4120.853197,4532.220461,4390.086492,4037.862139,3818.958251,102.2621511,233.8712726,368.6603664,495.1755583,612.2652995
73,60,0.275,1650,375,0.00674973,34458.82353,4438.711585,4898.218898,4755.621648,4369.487402,4098.383721,110.0118995,252.0193276,397.8839877,534.9212565,661.2035375
74,60,0.275,1650,487.5,0.00696284,34426.47059,4745.285137,5248.414018,5096.445462,4687.026019,4417.802237,117.1112239,269.151513,425.4650906,572.3637318,708.0886083
75,60,0.275,1650,600,0.00707929,34390.58824,5035.633117,5575.043793,5430.974265,5003.630227,4693.217373,123.8620574,285.2311687,451.5298829,608.2568794,752.9170083
76,60,0.3875,300,150,0.0179568,37371.76471,1347.118781,1323.593999,1172.229038,986.4707569,859.7660142,37.093882,77.59098271,115.2311201,147.5807918,175.0099009
77,60,0.3875,300,262.5,0.0202062,36729.41176,1862.616055,1815.742583,1581.287175,1311.737164,1159.579881,50.93700566,106.7719492,158.0057413,201.2982337,237.8838984
78,60,0.3875,300,375,0.0205514,37291.76471,2327.289033,2287.068826,1989.940038,1629.78464,1400.484602,63.01739791,133.1173897,197.6724417,251.8835259,296.7680737
79,60,0.3875,300,487.5,0.0200269,37512.94118,2756.90722,2737.239188,2402.760996,1979.249813,1692.482805,73.79802435,157.2794673,234.884274,300.5547971,355.0067044
80,60,0.3875,300,600,0.0191663,36842.35294,3156.740375,3166.801733,2802.551439,2324.582992,1993.489888,83.56528706,179.6799397,269.8302745,346.6958445,410.7740075
81,60,0.3875,637.5,150,0.0104084,35800,1857.255586,1932.325354,1796.352743,1595.421773,1475.616465,48.85390772,106.4078328,162.6830052,213.5394138,259.2195682
82,60,0.3875,637.5,262.5,0.0123473,35644.70588,2336.422241,2414.966197,2222.503497,1944.782693,1767.55234,61.51064305,133.691172,203.6985483,266.1888007,321.3904144
83,60,0.3875,637.5,375,0.013157,35902.94118,2774.258458,2861.220021,2632.041151,2288.554138,2032.591274,72.77955102,158.3543696,241.2913479,315.1337573,379.4798377
84,60,0.3875,637.5,487.5,0.0133658,36011.76471,3172.769456,3295.012405,3031.022637,2626.760181,2328.185064,82.58487883,180.8746385,276.4232959,361.3332698,435.08578
85,60,0.3875,637.5,600,0.0132069,35851.76471,3544.472097,3698.001757,3418.002811,2963.754858,2594.5375,91.79297956,201.8380084,309.3377988,405.1756869,488.0133962
86,60,0.3875,975,150,0.0072189,34924.70588,2318.406577,2483.442694,2366.648415,2163.314179,2068.730429,59.4014846,132.3779127,205.5897423,273.511418,336.4760979
87,60,0.3875,975,262.5,0.00869198,35227.05882,2772.493892,2954.307414,2791.323047,2519.548358,2374.99091,71.00825547,158.0672792,244.8187213,324.4587587,397.2637951
88,60,0.3875,975,375,0.00945572,35328.23529,3182.464449,3383.970498,3191.713519,2869.162331,2679.785755,81.47015334,181.2804211,280.570753,371.4802902,454.052239
89,60,0.3875,975,487.5,0.00981266,35371.76471,3560.002088,3794.927033,3585.073998,3209.649047,2947.858241,90.8134945,202.5983838,314.0613366,416.0471045,507.7766208
90,60,0.3875,975,600,0.00992353,35354.70588,3911.010871,4184.128846,3953.029142,3543.691135,3282.094201,99.17680066,222.2719148,345.1823546,457.6712803,559.2812335
91,60,0.3875,1312.5,150,0.00552765,34376.47059,2741.121729,2997.324629,2915.759312,2706.74882,2580.616198,68.83700275,156.0210225,245.2987983,329.6921294,408.5325061
92,60,0.3875,1312.5,262.5,0.00668764,34690,3166.212554,3452.092183,3332.18822,3067.482226,2918.955761,79.77348736,180.3887444,282.8411825,378.8720173,468.0519114
93,60,0.3875,1312.5,375,0.0073621,34820.58824,3553.81437,3866.015116,3719.45021,3413.770463,3248.626684,89.50625938,202.3251793,316.8795099,423.9010436,523.1110974
94,60,0.3875,1312.5,487.5,0.00774342,34892.94118,3908.693714,4261.353417,4104.313766,3752.499583,3520.835687,98.05302947,222.2716408,348.637241,466.5827215,574.9887189
95,60,0.3875,1312.5,600,0.00794478,34887.64706,4241.472941,4631.377227,4463.316496,4083.785669,3839.279667,106.0580044,240.9787881,378.3609879,506.6630769,624.7383763
96,60,0.3875,1650,150,0.0044991,33965.88235,3128.042037,3482.584216,3433.612604,3227.108532,3109.05333,77.52942189,178.0050768,282.4493369,382.4465085,476.9603376
97,60,0.3875,1650,262.5,0.00544971,34238.82353,3531.806267,3922.365613,3839.571781,3582.086625,3448.571998,87.65191725,201.0212057,318.2603222,429.6485992,534.4252249
98,60,0.3875,1650,375,0.00604288,34379.41176,3901.200697,4319.17081,4222.454449,3929.084864,3757.095307,96.7806558,221.7704862,350.7840397,473.1512209,587.7429319
99,60,0.3875,1650,487.5,0.00641345,34445.29412,4243.114965,4698.682611,4588.018228,4259.641771,4062.073197,105.0291659,241.0073596,381.2878022,514.1113324,638.1743871
100,60,0.3875,1650,600,0.0066497,34446.47059,4554.134721,5055.030122,4939.111393,4584.412986,4368.969353,112.498193,258.650244,409.6318589,552.6091307,686.0891857
101,60,0.5,300,150,0.0174613,37261.17647,1238.489049,1222.110384,1090.5405,936.2984754,851.9033906,34.10218934,71.41480775,106.2769002,136.6205163,163.1532781
102,60,0.5,300,262.5,0.0200481,37272.94118,1757.837,1719.08328,1510.496324,1260.386169,1097.062851,48.29512841,101.0339032,149.7417928,191.2484507,226.2328314
103,60,0.5,300,375,0.0205308,37475.29412,2234.029813,2193.165492,1918.98165,1586.695317,1371.523525,60.69646144,127.9067111,189.9531957,242.4645851,286.3260601
104,60,0.5,300,487.5,0.0200891,37014.11765,2669.975513,2649.335806,2325.749032,1926.70817,1679.706202,71.64690832,152.478312,227.577586,291.268713,344.7004651
105,60,0.5,300,600,0.0192692,36817.05882,3075.333337,3082.876626,2728.309193,2269.63151,1964.844047,81.54994447,175.1508713,262.9014348,337.8083204,400.6182276
106,60,0.5,637.5,150,0.00981415,36000,1638.459886,1717.894396,1614.55968,1462.123339,1394.252973,42.99683454,93.96615635,144.2428061,190.3487209,232.8158662
107,60,0.5,637.5,262.5,0.012063,36247.05882,2137.879369,2213.088927,2050.495686,1813.907812,1667.133466,56.42905794,122.4928496,186.8363656,244.7826445,296.5689697
108,60,0.5,637.5,375,0.0130442,36376.47059,2582.856637,2673.728658,2472.466826,2163.612812,1931.708288,68.0582284,147.8680196,225.5606094,295.1401073,356.1468731
109,60,0.5,637.5,487.5,0.0133514,35968.23529,3000.538958,3107.710389,2871.425794,2509.118168,2238.220506,78.48228004,171.2364516,261.5103432,342.261769,412.971533
110,60,0.5,637.5,600,0.0132766,35856.47059,3382.158259,3523.814055,3262.323886,2843.317031,2512.422766,87.83081687,192.7353031,295.2282005,386.8995695,466.7083484
111,60,0.5,975,150,0.0066457,34628.23529,1996.243831,2164.057137,2085.489298,1940.060047,1907.289115,50.96059848,114.2054655,178.3402152,238.6662092,295.8704011
112,60,0.5,975,262.5,0.00838733,34981.76471,2481.338902,2654.325138,2524.415893,2311.647136,2236.054838,63.68767333,141.7549176,219.9182268,292.3912761,359.9888196
113,60,0.5,975,375,0.00932196,35261.17647,2911.192854,3105.947461,2942.203803,2667.257478,2528.40408,74.61171062,166.0741805,257.3835756,341.494382,418.7799536
114,60,0.5,975,487.5,0.00978199,35368.82353,3302.914167,3529.317522,3342.740339,3021.406788,2843.541041,84.4453753,188.3090822,292.0746212,387.5259388,474.7937064
115,60,0.5,975,600,0.00995419,35379.41176,3673.372166,3920.623584,3721.246566,3360.31762,3122.913251,93.67977973,209.0626327,324.4509104,430.7219074,527.3052134
116,60,0.5,1312.5,150,0.00496703,34072.94118,2326.725685,2576.553941,2532.557323,2395.697019,2366.934215,58.35312265,132.8880807,210.0081104,283.9128833,354.8309067
117,60,0.5,1312.5,262.5,0.00635982,34520,2791.699123,3058.811341,2978.972485,2776.851089,2677.115685,70.40552362,159.3113939,250.4646934,336.8269177,418.0996187
118,60,0.5,1312.5,375,0.0071846,34741.76471,3203.783788,3498.409867,3388.42821,3137.203218,3008.099294,80.83916817,182.7127979,286.6976829,384.6060573,476.1510869
119,60,0.5,1312.5,487.5,0.00766487,34855.88235,3583.923166,3909.473019,3781.525898,3483.57852,3299.1276,90.28008813,204.1691442,320.3134995,429.3606955,530.4631752
120,60,0.5,1312.5,600,0.00792672,34912.35294,3938.387959,4291.438136,4152.523478,3823.774083,3607.320046,98.89912284,223.954089,351.4657627,471.2071504,582.0151613
121,60,0.5,1650,150,0.0039536,33687.64706,2637.592757,2963.110095,2964.965025,2835.587796,2767.408657,65.19917238,150.259409,239.749154,326.8449889,410.4964027
122,60,0.5,1650,262.5,0.00510296,34077.05882,3082.476246,3439.88085,3402.915643,3216.557169,3125.78197,76.68538672,175.8128884,279.1345396,378.4938943,473.0838026
123,60,0.5,1650,375,0.00582523,34311.76471,3482.993851,3871.057523,3805.218175,3574.863183,3469.379921,86.67986373,198.4871261,314.4042849,425.1550601,530.144793
124,60,0.5,1650,487.5,0.00628825,34427.05882,3856.661923,4265.760316,4182.911041,3920.148222,3789.505981,95.88767969,219.3439251,346.9138219,468.5194521,583.443921
125,60,0.5,1650,600,0.00658165,34484.70588,4190.825226,4646.324817,4554.0857,4254.051151,4086.164447,103.9217416,238.2732681,377.2238435,509.4404557,633.7883909
126,105,0.05,300,150,0.0351258,68975.33207,2127.979679,1873.244995,1475.938088,1114.324755,966.6707948,62.14232128,122.7399542,173.1112987,211.6531752,242.1103778
127,105,0.05,300,262.5,0.0342319,68505.88235,2662.724451,2365.012343,1867.296922,1437.546557,1343.729618,76.51695042,152.7679711,216.4176579,265.4854369,306.0297855
128,105,0.05,300,375,0.0330402,68101.17647,3167.49422,2852.272592,2275.319495,1759.473402,1627.572787,89.8764275,181.2308064,258.3954683,318.3610461,367.8033272
129,105,0.05,300,487.5,0.0317726,67597.64706,3645.654394,3341.013521,2694.84161,2054.075763,1765.653082,102.1736892,208.2612069,299.21919,370.005764,425.9871674
130,105,0.05,300,600,0.0302775,67663.52941,4121.015849,3822.884706,3093.457312,2408.815918,2245.042774,113.6160901,234.4479418,338.6762099,420.5032406,488.4138476
131,105,0.05,637.5,150,0.0282628,67345.88235,3450.214362,3204.565068,2617.792029,2062.308493,1910.527705,95.7803912,196.9204086,284.6430578,354.3008253,412.4185949
132,105,0.05,637.5,262.5,0.0275847,66952.94118,3914.784411,3681.561087,3041.298025,2383.835226,2099.012692,107.8567891,223.3068709,324.6800569,405.612755,471.4365731
133,105,0.05,637.5,375,0.0267283,66545.88235,4364.214966,4144.797796,3457.718341,2698.715613,2263.528626,119.1588398,248.4578607,363.1700847,455.2017284,528.3311788
134,105,0.05,637.5,487.5,0.025666,66795.29412,4794.951481,4604.257256,3850.859538,3052.782509,2728.050348,129.5562516,272.5986716,400.1846521,503.2034508,588.0850513
135,105,0.05,637.5,600,0.0246942,66240,5200.8109,5048.049279,4278.935079,3417.631041,2988.299909,139.3742585,295.3032461,436.0936895,551.1174525,645.4712812
136,105,0.05,975,150,0.0235465,66221.17647,4603.426788,4457.837831,3783.997534,3032.505339,2653.960687,124.0818739,261.8847209,386.2696304,488.148054,571.9494263
137,105,0.05,975,262.5,0.0229203,65837.64706,5024.263448,4906.930301,4189.061379,3371.768349,2956.162875,134.4100557,285.505691,422.820516,535.8551327,629.1434926
138,105,0.05,975,375,0.0222088,65444.70588,5414.966377,5336.737246,4607.029434,3711.965093,3137.666376,144.2472496,307.7591533,457.9366976,582.5273541,683.8622594
139,105,0.05,975,487.5,0.0214346,65538.82353,5798.700111,5767.623038,5014.793608,4035.25604,3324.054554,153.4646391,329.3826725,492.3044978,628.0032077,737.1032211
140,105,0.05,975,600,0.020596,64708.23529,6160.23134,6178.446786,5414.391179,4395.944617,3650.987196,162.1068707,349.8025703,524.9909673,672.1221315,791.4825356
141,105,0.05,1312.5,150,0.0199442,65451.76471,5617.019985,5613.269756,4924.349082,4002.114467,3298.422416,148.6282046,319.3602975,478.5726855,612.488103,720.8849792
142,105,0.05,1312.5,262.5,0.0193837,64601.17647,5995.000335,6034.326792,5315.902332,4357.101537,3675.29899,157.5632825,340.5442849,512.0453808,657.0946615,776.2414555
143,105,0.05,1312.5,375,0.0187944,64461.17647,6357.725982,6434.320727,5695.783336,4721.120598,4089.339301,166.169138,360.8114275,544.0770603,700.1971741,830.7731104
144,105,0.05,1312.5,487.5,0.0181939,64245.29412,6701.787762,6818.115836,6100.031413,5087.386516,4320.033169,174.4824495,380.0418497,575.2252747,743.0981298,882.9213812
145,105,0.05,1312.5,600,0.0175782,64041.76471,7030.050093,7212.111801,6479.136175,5421.650465,4630.181918,182.3134552,398.971636,605.88979,784.4747058,933.8489896
146,105,0.05,1650,150,0.0171469,64048.82353,6542.991996,6688.091266,5989.319744,5009.16524,4310.115565,170.1568603,371.4358959,563.0036283,727.9812507,866.364591
147,105,0.05,1650,262.5,0.0167,63888.23529,6874.807705,7066.510232,6384.392611,5373.750634,4579.880092,178.3344431,390.3203823,593.5868556,770.0986955,918.1796081
148,105,0.05,1650,375,0.0162121,63576.47059,7208.104169,7448.577543,6754.964332,5702.624425,4866.917714,185.9699598,408.8746018,623.5437465,810.5851948,967.8675441
149,105,0.05,1650,487.5,0.0157236,63275.88235,7524.95713,7811.960586,7121.359888,6061.608964,5241.161743,193.5579354,426.8162789,652.4995291,850.4063701,1018.589104
150,105,0.05,1650,600,0.0152346,62988.23529,7811.354899,8176.460019,7508.927025,6379.552845,5359.13441,200.350429,443.4627442,680.6116491,889.379954,1064.474377
151,105,0.1625,300,150,0.027222,67098.82353,1814.722129,1662.650741,1367.048497,1087.173807,982.2850808,51.89495575,104.613449,150.2186917,186.7936343,217.1989797
152,105,0.1625,300,262.5,0.0286129,67682.35294,2358.526289,2155.485751,1762.658388,1390.420407,1249.148011,67.1483554,135.5959733,194.5796322,241.5613704,280.3145124
153,105,0.1625,300,375,0.0287613,67623.52941,2874.570799,2644.742933,2165.577118,1708.593373,1545.311719,81.07893706,164.8313879,237.2701335,294.9878356,342.7227566
154,105,0.1625,300,487.5,0.028326,67296.47059,3375.202843,3129.776249,2563.785226,2028.767002,1876.258806,94.04690533,192.8624243,278.627836,346.9992659,404.1789565
155,105,0.1625,300,600,0.0276249,66936.47059,3841.793605,3609.027162,2985.183509,2343.412132,2056.862515,106.1328954,219.3393368,318.763753,398.2710701,462.9206985
156,105,0.1625,637.5,150,0.0200675,65757.64706,2801.048766,2709.976155,2337.9469,1925.390114,1712.73491,76.87601565,160.5443175,236.6650186,300.4158562,354.1874413
157,105,0.1625,637.5,262.5,0.0211091,65898.82353,3304.760423,3193.315953,2744.612885,2247.370887,1990.30963,90.48519118,189.1603829,278.7115624,353.3517666,415.9556229
158,105,0.1625,637.5,375,0.0214607,64990.58824,3780.446298,3665.083339,3150.238393,2568.406339,2252.082056,102.9586745,216.0559427,318.868855,404.4003752,475.6283131
159,105,0.1625,637.5,487.5,0.0214086,65237.64706,4233.427859,4132.385499,3559.682506,2894.901568,2517.625377,114.4617052,241.6025355,357.6882288,454.2627064,534.2573704
160,105,0.1625,637.5,600,0.0211099,64421.76471,4662.455061,4581.489031,3978.041101,3229.836293,2714.599628,125.3018804,265.7394029,394.9664034,502.9743002,591.0862625
161,105,0.1625,975,150,0.0161048,64171.76471,3698.483728,3688.171214,3261.654178,2748.272824,2477.367354,99.03939634,211.291407,316.1676239,406.1220145,483.4887522
162,105,0.1625,975,262.5,0.0168099,64272.94118,4154.458944,4158.247795,3687.605976,3084.671622,2691.582868,111.0451079,237.3494584,355.7956689,457.2828916,542.9744223
